Month               First Day           Day of the Week     
May                 23497               Friday              
June                23528               Monday              
July                23558               Wednesday           
August              23589               Saturday            
September           23620               Tuesday             
October             23650               Thursday            
November            23681               Sunday              
December            23711               Tuesday             
January             23742               Friday              
February            23773               Monday              
March               23801               Monday              
April               23832               Thursday            
May                 23862               Saturday            
June                23893               Tuesday             
July                23923               Thursday            
August              23954               Sunday              
September           23985               Wednesday           
October             24015               Friday              
November            24046               Monday              
December            24076               Wednesday           
January             24107               Saturday            
February            24138               Tuesday             
March               24166               Tuesday             
April               24197               Friday              
May                 24227               Sunday              
June                24258               Wednesday           
July                24288               Friday              
August              24319               Monday              
September           24350               Thursday            
October             24380               Saturday            
November            24411               Tuesday             
December            24441               Thursday            
January             24472               Sunday              
February            24503               Wednesday           
March               24531               Wednesday           
April               24562               Saturday            
May                 24592               Monday              
June                24623               Thursday            
July                24653               Saturday            
August              24684               Tuesday             
September           24715               Friday              
October             24745               Sunday              
November            24776               Wednesday           
December            24806               Friday              
January             24837               Monday              
February            24868               Thursday            
March               24897               Friday              
April               24928               Monday              
May                 24958               Wednesday           
June                24989               Saturday            
July                25019               Monday              
August              25050               Thursday            
September           25081               Sunday              
October             25111               Tuesday             
November            25142               Friday              
December            25172               Sunday              
January             25203               Wednesday           
February            25234               Saturday            
March               25262               Saturday            
April               25293               Tuesday             
May                 25323               Thursday            
June                25354               Sunday              
July                25384               Tuesday             
August              25415               Friday              
September           25446               Monday              
October             25476               Wednesday           
November            25507               Saturday            
December            25537               Monday              
January             25568               Thursday            
February            25599               Sunday              
March               25627               Sunday              
April               25658               Wednesday           
May                 25688               Friday              
June                25719               Monday              
July                25749               Wednesday           
August              25780               Saturday            
September           25811               Tuesday             
October             25841               Thursday            
November            25872               Sunday              
December            25902               Tuesday             
January             25933               Friday              
February            25964               Monday              
March               25992               Monday              
April               26023               Thursday            
May                 26053               Saturday            
June                26084               Tuesday             
July                26114               Thursday            
August              26145               Sunday              
September           26176               Wednesday           
October             26206               Friday              
November            26237               Monday              
December            26267               Wednesday           
January             26298               Saturday            
February            26329               Tuesday             
March               26358               Wednesday           
April               26389               Saturday            
May                 26419               Monday              
June                26450               Thursday            
July                26480               Saturday            
August              26511               Tuesday             
September           26542               Friday              
October             26572               Sunday              
November            26603               Wednesday           
December            26633               Friday              
January             26664               Monday              
February            26695               Thursday            
March               26723               Thursday            
April               26754               Sunday              
May                 26784               Tuesday             
June                26815               Friday              
July                26845               Sunday              
August              26876               Wednesday           
September           26907               Saturday            
October             26937               Monday              
November            26968               Thursday            
December            26998               Saturday            
January             27029               Tuesday             
February            27060               Friday              
March               27088               Friday              
April               27119               Monday              
May                 27149               Wednesday           
June                27180               Saturday            
July                27210               Monday              
August              27241               Thursday            
September           27272               Sunday              
October             27302               Tuesday             
November            27333               Friday              
December            27363               Sunday              
January             27394               Wednesday           
February            27425               Saturday            
March               27453               Saturday            
April               27484               Tuesday             
May                 27514               Thursday            
June                27545               Sunday              
July                27575               Tuesday             
August              27606               Friday              
September           27637               Monday              
October             27667               Wednesday           
November            27698               Saturday            
December            27728               Monday              
January             27759               Thursday            
February            27790               Sunday              
March               27819               Monday              
April               27850               Thursday            
May                 27880               Saturday            
June                27911               Tuesday             
July                27941               Thursday            
August              27972               Sunday              
September           28003               Wednesday           
October             28033               Friday              
November            28064               Monday              
December            28094               Wednesday           
January             28125               Saturday            
February            28156               Tuesday             
March               28184               Tuesday             
April               28215               Friday              
May                 28245               Sunday              
June                28276               Wednesday           
July                28306               Friday              
August              28337               Monday              
September           28368               Thursday            
October             28398               Saturday            
November            28429               Tuesday             
December            28459               Thursday            
January             28490               Sunday              
February            28521               Wednesday           
March               28549               Wednesday           
April               28580               Saturday            
May                 28610               Monday              
June                28641               Thursday            
July                28671               Saturday            
August              28702               Tuesday             
September           28733               Friday              
October             28763               Sunday              
November            28794               Wednesday           
December            28824               Friday              
January             28855               Monday              
February            28886               Thursday            
March               28914               Thursday            
April               28945               Sunday              
May                 28975               Tuesday             
June                29006               Friday              
July                29036               Sunday              
August              29067               Wednesday           
September           29098               Saturday            
October             29128               Monday              
November            29159               Thursday            
December            29189               Saturday            
January             29220               Tuesday             
February            29251               Friday              
March               29280               Saturday            
April               29311               Tuesday             
May                 29341               Thursday            
June                29372               Sunday              
July                29402               Tuesday             
August              29433               Friday              
September           29464               Monday              
October             29494               Wednesday           
November            29525               Saturday            
December            29555               Monday              
January             29586               Thursday            
February            29617               Sunday              
March               29645               Sunday              
April               29676               Wednesday           
May                 29706               Friday              
June                29737               Monday              
July                29767               Wednesday           
August              29798               Saturday            
September           29829               Tuesday             
October             29859               Thursday            
November            29890               Sunday              
December            29920               Tuesday             
January             29951               Friday              
February            29982               Monday              
March               30010               Monday              
April               30041               Thursday            
May                 30071               Saturday            
June                30102               Tuesday             
July                30132               Thursday            
August              30163               Sunday              
September           30194               Wednesday           
October             30224               Friday              
November            30255               Monday              
December            30285               Wednesday           
January             30316               Saturday            
February            30347               Tuesday             
March               30375               Tuesday             
April               30406               Friday              
May                 30436               Sunday              
June                30467               Wednesday           
July                30497               Friday              
August              30528               Monday              
September           30559               Thursday            
October             30589               Saturday            
November            30620               Tuesday             
December            30650               Thursday            
January             30681               Sunday              
February            30712               Wednesday           
March               30741               Thursday            
April               30772               Sunday              
May                 30802               Tuesday             
June                30833               Friday              
July                30863               Sunday              
August              30894               Wednesday           
September           30925               Saturday            
October             30955               Monday              
November            30986               Thursday            
December            31016               Saturday            
January             31047               Tuesday             
February            31078               Friday              
March               31106               Friday              
April               31137               Monday              
May                 31167               Wednesday           
June                31198               Saturday            
July                31228               Monday              
August              31259               Thursday            
September           31290               Sunday              
October             31320               Tuesday             
November            31351               Friday              
December            31381               Sunday              
January             31412               Wednesday           
February            31443               Saturday            
March               31471               Saturday            
April               31502               Tuesday             
May                 31532               Thursday            
June                31563               Sunday              
July                31593               Tuesday             
August              31624               Friday              
September           31655               Monday              
October             31685               Wednesday           
November            31716               Saturday            
December            31746               Monday              
January             31777               Thursday            
February            31808               Sunday              
March               31836               Sunday              
April               31867               Wednesday           
May                 31897               Friday              
June                31928               Monday              
July                31958               Wednesday           
August              31989               Saturday            
September           32020               Tuesday             
October             32050               Thursday            
November            32081               Sunday              
December            32111               Tuesday             
January             32142               Friday              
February            32173               Monday              
March               32202               Tuesday             
April               32233               Friday              
May                 32263               Sunday              
June                32294               Wednesday           
July                32324               Friday              
August              32355               Monday              
September           32386               Thursday            
October             32416               Saturday            
November            32447               Tuesday             
December            32477               Thursday            
January             32508               Sunday              
February            32539               Wednesday           
March               32567               Wednesday           
April               32598               Saturday            
May                 32628               Monday              
June                32659               Thursday            
July                32689               Saturday            
August              32720               Tuesday             
September           32751               Friday              
October             32781               Sunday              
November            32812               Wednesday           
December            32842               Friday              
January             32873               Monday              
February            32904               Thursday            
March               32932               Thursday            
April               32963               Sunday              
May                 32993               Tuesday             
June                33024               Friday              
July                33054               Sunday              
August              33085               Wednesday           
September           33116               Saturday            
October             33146               Monday              
November            33177               Thursday            
December            33207               Saturday            
January             33238               Tuesday             
February            33269               Friday              
March               33297               Friday              
April               33328               Monday              
May                 33358               Wednesday           
June                33389               Saturday            
July                33419               Monday              
August              33450               Thursday            
September           33481               Sunday              
October             33511               Tuesday             
November            33542               Friday              
December            33572               Sunday              
January             33603               Wednesday           
February            33634               Saturday            
March               33663               Sunday              
April               33694               Wednesday           
May                 33724               Friday              
June                33755               Monday              
July                33785               Wednesday           
August              33816               Saturday            
September           33847               Tuesday             
October             33877               Thursday            
November            33908               Sunday              
December            33938               Tuesday             
January             33969               Friday              
February            34000               Monday              
March               34028               Monday              
April               34059               Thursday            
May                 34089               Saturday            
June                34120               Tuesday             
July                34150               Thursday            
August              34181               Sunday              
September           34212               Wednesday           
October             34242               Friday              
November            34273               Monday              
December            34303               Wednesday           
January             34334               Saturday            
February            34365               Tuesday             
March               34393               Tuesday             
April               34424               Friday              
May                 34454               Sunday              
June                34485               Wednesday           
July                34515               Friday              
August              34546               Monday              
September           34577               Thursday            
October             34607               Saturday            
November            34638               Tuesday             
December            34668               Thursday            
January             34699               Sunday              
February            34730               Wednesday           
March               34758               Wednesday           
April               34789               Saturday            
May                 34819               Monday              
June                34850               Thursday            
July                34880               Saturday            
August              34911               Tuesday             
September           34942               Friday              
October             34972               Sunday              
November            35003               Wednesday           
December            35033               Friday              
January             35064               Monday              
February            35095               Thursday            
March               35124               Friday              
April               35155               Monday              
May                 35185               Wednesday           
June                35216               Saturday            
July                35246               Monday              
August              35277               Thursday            
September           35308               Sunday              
October             35338               Tuesday             
November            35369               Friday              
December            35399               Sunday              
January             35430               Wednesday           
February            35461               Saturday            
March               35489               Saturday            
April               35520               Tuesday             
May                 35550               Thursday            
June                35581               Sunday              
July                35611               Tuesday             
August              35642               Friday              
September           35673               Monday              
October             35703               Wednesday           
November            35734               Saturday            
December            35764               Monday              
January             35795               Thursday            
February            35826               Sunday              
March               35854               Sunday              
April               35885               Wednesday           
May                 35915               Friday              
June                35946               Monday              
July                35976               Wednesday           
August              36007               Saturday            
September           36038               Tuesday             
October             36068               Thursday            
November            36099               Sunday              
December            36129               Tuesday             
January             36160               Friday              
February            36191               Monday              
March               36219               Monday              
April               36250               Thursday            
May                 36280               Saturday            
June                36311               Tuesday             
July                36341               Thursday            
August              36372               Sunday              
September           36403               Wednesday           
October             36433               Friday              
November            36464               Monday              
December            36494               Wednesday           
January             36525               Saturday            
February            36556               Tuesday             
March               36585               Wednesday           
April               36616               Saturday            
May                 36646               Monday              
June                36677               Thursday            
July                36707               Saturday            
August              36738               Tuesday             
September           36769               Friday              
October             36799               Sunday              
November            36830               Wednesday           
December            36860               Friday              
Number of months that start on Sunday in the 19th Century: 171
